,Agency,Create Time,Area Id,Beat,Priority,Incident Type Id,Incident Type Description,Event Number,Closed Time,Location 1
10,OP,2014-01-01T00:03:10,2.0,29X,2,415GS,415 GUNSHOTS,LOP140101000017,2014-01-01T03:08:48,"{'human_address': '{""address"":""AV&amp;MACARTHUR BLVD"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
11,OP,2014-01-01T00:04:13,1.0,06X,2,247,SHOOTING AT/INTO AN,LOP140101000014,2014-01-01T11:43:10,"{'human_address': '{""address"":""MARTIN LUTHER KING JR WY"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
12,OP,2014-01-01T00:04:34,2.0,23X,2,415GS,415 GUNSHOTS,LOP140101000012,2014-01-01T03:23:00,"{'human_address': '{""address"":""AV&amp;INTERNATIONAL BLVD"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
13,OP,2014-01-01T00:04:48,2.0,32Y,2,415GS,415 GUNSHOTS,LOP140101000013,2014-01-01T02:46:17,"{'human_address': '{""address"":""MACARTHUR BLVD"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
14,OP,2014-01-01T00:05:09,2.0,32X,2,415GS,415 GUNSHOTS,LOP140101000015,2014-01-01T00:11:30,"{'human_address': '{""address"":""AV&amp;ROYAL ANN ST"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
15,OP,2014-01-01T00:06:06,1.0,10X,2,933R,ALARM-RINGER,LOP140101000016,2014-01-01T07:38:34,"{'human_address': '{""address"":""59TH ST"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
16,OP,2014-01-01T00:06:25,1.0,22Y,2,911H,911 HANG-UP,LOP140101000018,2014-01-01T00:10:25,"{'human_address': '{""address"":""MACARTHUR BLVD"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
17,OP,2014-01-01T00:06:29,2.0,27X,1,CODE7,SUBJECT ARMED WITH W,LOP140101000024,2014-01-01T00:24:49,"{'human_address': '{""address"":""47TH AV"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
18,OP,2014-01-01T00:06:53,1.0,09X,2,933R,ALARM-RINGER,LOP140101000023,2014-01-01T04:37:57,"{'human_address': '{""address"":""HOWE ST"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
19,OP,2014-01-01T00:06:59,1.0,17Y,2,415C,415 UNKNOWN,LOP140101000019,2014-01-01T08:09:33,"{'human_address': '{""address"":""10TH AV"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
20,OP,2014-01-01T00:07:04,1.0,05X,1,929,FIRE,LOP140101000020,2014-01-01T00:08:34,"{'human_address': '{""address"":""GRAND AV&amp;MARKET ST"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
21,OP,2014-01-01T00:07:36,2.0,27X,2,415GS,415 GUNSHOTS,LOP140101000021,2014-01-01T06:58:13,"{'human_address': '{""address"":""AV&amp;SAN CARLOS AV"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
22,OP,2014-01-01T00:07:38,2.0,31Z,2,415GS,415 GUNSHOTS,LOP140101000022,2014-01-01T11:52:45,"{'human_address': '{""address"":""MOORPARK AV"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
23,OP,2014-01-01T00:08:40,2.0,27Y,2,415GS,415 GUNSHOTS,LOP140101000027,2014-01-01T03:43:12,"{'human_address': '{""address"":""AV&amp;SEMINARY AV"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
24,OP,2014-01-01T00:09:04,2.0,27Y,2,415GS,415 GUNSHOTS,LOP140101000025,2014-01-01T03:23:54,"{'human_address': '{""address"":""AV&amp;WENTWORTH AV"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
25,OP,2014-01-01T00:10:05,1.0,15X,2,415GS,415 GUNSHOTS,LOP140101000026,2014-01-01T03:47:23,"{'human_address': '{""address"":""MACARTHUR BLVD"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
26,OP,2014-01-01T00:11:55,1.0,09X,2,415GS,415 GUNSHOTS,LOP140101000028,2014-01-01T03:23:09,"{'human_address': '{""address"":""W MACARTHUR BLVD"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
27,OP,2014-01-01T00:12:40,2.0,25X,2,912,SUSPICIOUS PERSON,LOP140101000032,2014-01-01T00:53:06,"{'human_address': '{""address"":""39TH AV"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
28,OP,2014-01-01T00:13:20,2.0,35X,2,415GS,415 GUNSHOTS,LOP140101000033,2014-01-01T01:24:42,"{'human_address': '{""address"":""83RD AV"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
29,OP,2014-01-01T00:15:29,1.0,13Z,2,HAZ,HAZARDOUS SITUATION/,LOP140101000039,2014-01-01T02:08:09,"{'human_address': '{""address"":""BLVD&amp;PARK BLVD"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
30,OP,2014-01-01T00:15:34,2.0,25X,1,MPRISK,MISSING PERSON AT RI,LOP140101000034,2014-01-01T00:51:30,"{'human_address': '{""address"":""39TH AV"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
31,OP,2014-01-01T00:15:38,2.0,30X,1,246,SHOOTING AT/INTO AN,LOP140101000038,2014-01-01T01:05:56,"{'human_address': '{""address"":""80TH AV"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
32,OP,2014-01-01T00:17:34,2.0,23X,2,415GS,415 GUNSHOTS,LOP140101000040,2014-01-01T01:30:14,"{'human_address': '{""address"":""17TH ST&amp;35TH AV"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
33,OP,2014-01-01T00:17:38,2.0,26Y,1,CODE7,SUBJECT ARMED WITH W,LOP140101000041,2014-01-01T01:02:53,"{'human_address': '{""address"":""AV&amp;INTERNATIONAL BLVD"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
34,OP,2014-01-01T00:18:05,2.0,32X,2,415GS,415 GUNSHOTS,LOP140101000042,2014-01-01T03:49:32,"{'human_address': '{""address"":""AV&amp;C ST"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
35,OP,2014-01-01T00:18:41,2.0,30X,1,918,PERSON SCREAMING,LOP140101000046,2014-01-01T00:28:14,"{'human_address': '{""address"":""AV&amp;HOLLY ST"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
36,OP,2014-01-01T00:18:55,2.0,26Y,2,415GS,415 GUNSHOTS,LOP140101000047,2014-01-01T03:22:51,"{'human_address': '{""address"":""70TH AV"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
37,OP,2014-01-01T00:19:38,2.0,25X,1,415GS,415 GUNSHOTS,LOP140101000045,2014-01-01T00:32:03,"{'human_address': '{""address"":""39TH AV"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
38,OP,2014-01-01T00:22:33,2.0,29X,2,911H,911 HANG-UP,LOP140101000051,2014-01-01T07:17:00,"{'human_address': '{""address"":""FOOTHILL BLVD"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
39,OP,2014-01-01T00:23:44,2.0,24Y,2,901,VEHICLE COLLISION/PR,LOP140101000058,2014-01-01T09:24:45,"{'human_address': '{""address"":""AV&amp;EB I580"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
40,OP,2014-01-01T00:23:57,1.0,10Y,2,415GS,415 GUNSHOTS,LOP140101000055,2014-01-01T03:33:21,"{'human_address': '{""address"":""ST&amp;WEST ST"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
41,OP,2014-01-01T00:24:40,1.0,02X,2,911H,911 HANG-UP,LOP140101000060,2014-01-01T03:38:21,"{'human_address': '{""address"":""FILBERT ST"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
42,OP,2014-01-01T00:25:13,2.0,34X,2,415GS,415 GUNSHOTS,LOP140101000059,2014-01-01T08:56:07,"{'human_address': '{""address"":""PLYMOUTH ST"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
43,OP,2014-01-01T00:25:42,1.0,20X,2,415GS,415 GUNSHOTS,LOP140101000063,2014-01-01T03:33:23,"{'human_address': '{""address"":""26TH AV"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
44,OP,2014-01-01T00:26:12,1.0,17X,2,415GS,415 GUNSHOTS,LOP140101000065,2014-01-01T00:26:42,"{'human_address': '{""address"":""E 17TH ST"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
45,OP,2014-01-01T00:28:13,1.0,08X,1,10851,STOLEN VEHICLE,LOP140101000083,2014-01-01T01:21:33,"{'human_address': '{""address"":""ST&amp;BROADWAY"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
46,OP,2014-01-01T00:28:56,2.0,23X,2,415GS,415 GUNSHOTS,LOP140101000072,2014-01-01T01:04:27,"{'human_address': '{""address"":""E 16TH ST"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
47,OP,2014-01-01T00:29:30,1.0,08X,2,415GS,415 GUNSHOTS,LOP140101000078,2014-01-01T03:28:21,"{'human_address': '{""address"":""ST&amp;MCCLURE ST"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
48,OP,2014-01-01T00:29:33,2.0,24Y,1,246,SHOOTING AT/INTO AN,LOP140101000073,2014-01-01T01:22:24,"{'human_address': '{""address"":""35TH AV"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
49,OP,2014-01-01T00:30:41,2.0,34X,2,415GS,415 GUNSHOTS,LOP140101000071,2014-01-01T08:53:10,"{'human_address': '{""address"":""94TH AV"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
50,OP,2014-01-01T00:31:27,2.0,25Y,2,SECCK,SECURITY CHECK,LOP140101000087,2014-01-01T09:21:59,"{'human_address': '{""address"":""PHAETON DR"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
51,OP,2014-01-01T00:31:53,2.0,26Y,1,929,FIRE,LOP140101000077,2014-01-01T00:32:00,"{'human_address': '{""address"":""INTERNATIONAL BLVD"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
52,OP,2014-01-01T00:32:02,2.0,35X,2,602L,TRESPASS:,LOP140101000086,2014-01-01T05:59:31,"{'human_address': '{""address"":""THERMAL ST"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
53,OP,2014-01-01T00:32:54,1.0,03X,2,922,DRUNK ON THE STREET,LOP140101000090,2014-01-01T00:57:00,"{'human_address': '{""address"":""ST&amp;BROADWAY"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
54,OP,2014-01-01T00:34:07,1.0,22X,1,943,FIGHT,LOP140101000085,2014-01-01T01:12:53,"{'human_address': '{""address"":""FRUITVALE AV"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
55,OP,2014-01-01T00:37:36,1.0,04X,2,A10851,ATTEMPTED AUTO THEFT,LOP140101000099,2014-01-01T05:18:01,"{'human_address': '{""address"":""ST&amp;SAN PABLO AV"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
56,OP,2014-01-01T00:45:05,2.0,23X,1,245,ASSAULT W/DEADLY WEA,LOP140101000118,2014-01-02T05:05:12,"{'human_address': '{""address"":""E 16TH ST"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
57,OP,2014-01-01T00:46:31,2.0,23X,1,901A,VEHICLE COLLISION-PE,LOP140101000119,2014-01-01T02:50:42,"{'human_address': '{""address"":""BLVD&amp;FRUITVALE AV"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
58,OP,2014-01-01T00:48:39,1.0,07X,1,901A,VEHICLE COLLISION-PE,LOP140101000126,2014-01-01T04:00:33,"{'human_address': '{""address"":""ST&amp;ADELINE ST"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
59,OP,2014-01-01T00:49:09,2.0,24X,2,20002,HIT & RUN (PROPERTY,LOP140101000127,2014-01-01T04:41:52,"{'human_address': '{""address"":""AV&amp;HARPER ST"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
60,OP,2014-01-01T00:52:10,2.0,24X,1,215,CARJACKING,LOP140101000135,2014-01-01T03:42:57,"{'human_address': '{""address"":""AV&amp;HARPER ST"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
61,OP,2014-01-01T00:53:08,1.0,05X,2,415,DISTURBING THE PEACE,LOP140101000137,2014-01-01T02:53:59,"{'human_address': '{""address"":""ST&amp;ADELINE ST"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
62,OP,2014-01-01T00:54:28,1.0,02X,1,415GS,415 GUNSHOTS,LOP140101000139,2014-01-01T01:44:29,"{'human_address': '{""address"":""7TH ST"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
63,OP,2014-01-01T00:56:09,1.0,21Y,2,20002,HIT & RUN (PROPERTY,LOP140101000142,2014-01-01T05:11:57,"{'human_address': '{""address"":""AV&amp;FOOTHILL BLVD"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
64,OP,2014-01-01T01:02:24,1.0,18Y,1,901A,VEHICLE COLLISION-PE,LOP140101000146,2014-01-01T06:04:52,"{'human_address': '{""address"":""AV&amp;E 31ST ST"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
65,OP,2014-01-01T01:03:15,2.0,35Y,1,243E,BATTERY ON CO-HABITA,LOP140101000148,2014-01-01T06:21:37,"{'human_address': '{""address"":""BROADMOOR VIEW"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
66,OP,2014-01-01T01:03:26,2.0,31Z,1,20002,HIT & RUN (PROPERTY,LOP140101000151,2014-01-01T18:01:14,"{'human_address': '{""address"":""AV&amp;SAN LEANDRO ST"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
67,OP,2014-01-01T01:13:09,1.0,13Y,1,243E,BATTERY ON CO-HABITA,LOP140101000156,2014-01-01T06:43:35,"{'human_address': '{""address"":""TUNNEL RD"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
68,OP,2014-01-01T01:14:17,1.0,10Y,2,933R,ALARM-RINGER,LOP140101000157,2014-01-01T01:19:32,"{'human_address': '{""address"":""MARKET ST"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
69,OP,2014-01-01T01:15:50,2.0,24X,2,415,415 FAMILY,LOP140101000168,2014-01-01T01:50:07,"{'human_address': '{""address"":""38TH AV"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
70,OP,2014-01-01T01:17:28,2.0,24X,2,415UG,DISTURBANCE-UNWANTED,LOP140101000166,2014-01-01T11:24:18,"{'human_address': '{""address"":""38TH AV"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
71,OP,2014-01-01T01:22:55,2.0,26Y,1,901A,VEHICLE COLLISION-PE,LOP140101000179,2014-01-01T03:17:32,"{'human_address': '{""address"":""BLVD&amp;SEMINARY AV"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
72,OP,2014-01-01T01:24:27,1.0,13Y,2,922,DRUNK ON THE STREET,LOP140101000183,2014-01-01T01:26:00,"{'human_address': '{""address"":""GRAND VIEW DR"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
73,OP,2014-01-01T01:26:30,1.0,10X,2,20002,HIT & RUN (PROPERTY,LOP140101000185,2014-01-01T04:47:23,"{'human_address': '{""address"":""ST&amp;SAN PABLO AV"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
74,OP,2014-01-01T01:28:24,1.0,08X,2,953,INVESTIGATE REPORT O,LOP140101000186,2014-01-01T01:29:20,"{'human_address': '{""address"":""ST&amp;TELEGRAPH AV"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
75,OP,2014-01-01T01:31:18,1.0,13Y,2,415,DISTURBING THE PEACE,LOP140101000190,2014-01-01T08:50:12,"{'human_address': '{""address"":""GRAND VIEW DR"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
76,OP,2014-01-01T01:31:57,1.0,07X,2,215,CARJACKING,LOP140101000189,2014-01-01T02:26:40,"{'human_address': '{""address"":""24TH ST"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
77,OP,2014-01-01T01:34:14,2.0,24X,1,245,ASSAULT W/DEADLY WEA,LOP140101000192,2014-01-01T04:15:08,"{'human_address': '{""address"":""38TH AV"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
78,OP,2014-01-01T01:36:05,1.0,07X,1,242,BATTERY,LOP140101000193,2014-01-01T01:50:01,"{'human_address': '{""address"":""YERBA BUENA AV"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
79,OP,2014-01-01T01:37:48,2.0,30X,2,415GS,415 GUNSHOTS,LOP140101000194,2014-01-01T03:42:14,"{'human_address': '{""address"":""76TH AV"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
80,OP,2014-01-01T01:38:08,2.0,26Y,2,242,BATTERY,LOP140101000196,2014-01-01T01:50:45,"{'human_address': '{""address"":""AV&amp;INTERNATIONAL BLVD"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
81,OP,2014-01-01T01:39:24,2.0,31Z,2,901B,VEHICLE COLLISION-UN,LOP140101000195,2014-01-01T01:55:00,"{'human_address': '{""address"":""AV&amp;RUSSETT ST"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
82,OP,2014-01-01T01:39:30,1.0,04X,2,211,ROBBERY,LOP140101000197,2014-01-01T03:24:17,"{'human_address': '{""address"":""ST&amp;BROADWAY"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
83,OP,2014-01-01T01:42:26,1.0,07X,2,911H,911 HANG-UP,LOP140101000198,2014-01-01T01:45:42,"{'human_address': '{""address"":""YERBA BUENA AV"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
84,OP,2014-01-01T01:42:32,1.0,07X,2,602L,TRESPASS:,LOP140101000199,2014-01-01T04:47:21,"{'human_address': '{""address"":""CHESTNUT ST"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
85,OP,2014-01-01T01:44:49,1.0,07X,1,943,FIGHT,LOP140101000200,2014-01-01T04:17:53,"{'human_address': '{""address"":""MANDELA PKWY"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
86,OP,2014-01-01T01:45:57,2.0,25X,2,647C,OBSTRUCT PERSON'S MO,LOP140101000201,2014-01-01T06:57:47,"{'human_address': '{""address"":""MACARTHUR BLVD"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
87,OP,2014-01-01T01:48:34,1.0,07X,1,243E,BATTERY ON CO-HABITA,LOP140101000203,2014-01-01T01:49:12,"{'human_address': '{""address"":""MANDELA PKWY"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
88,OP,2014-01-01T01:52:01,1.0,17X,2,415N,DISTURBANCE-NEIGHBOR,LOP140101000205,2014-01-01T04:35:36,"{'human_address': '{""address"":""7TH AV"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
89,OP,2014-01-01T01:54:42,1.0,03X,1,945,AMBULANCE FOLLOW UP,LOP140101000206,2014-01-01T01:58:20,"{'human_address': '{""address"":""ST&amp;BROADWAY"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
90,OP,2014-01-01T01:58:35,2.0,26Y,1,415GS,415 GUNSHOTS,LOP140101000207,2014-01-01T03:02:14,"{'human_address': '{""address"":""BLVD&amp;SEMINARY AV"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
91,OP,2014-01-01T02:00:27,1.0,06X,2,975,STAND BY AND PRESERV,LOP140101000208,2014-01-01T03:21:37,"{'human_address': '{""address"":""AV&amp;SAN PABLO AV"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
92,OP,2014-01-01T02:02:41,1.0,06X,2,941,PERSON DETAINED-IN C,LOP140101000210,2014-01-01T02:06:22,"{'human_address': '{""address"":""AV&amp;SAN PABLO AV"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
93,OP,2014-01-01T02:03:29,1.0,12Y,2,953,INVESTIGATE REPORT O,LOP140101000211,2014-01-01T02:03:48,"{'human_address': '{""address"":""TELEGRAPH AV"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
94,OP,2014-01-01T02:04:11,1.0,04X,1,261,SEXUAL ASSAULT; RAPE,LOP140101000212,2014-01-01T02:39:44,"{'human_address': '{""address"":""WEBSTER ST"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
95,OP,2014-01-01T02:05:35,1.0,13Y,2,415CU,DISTURBANCE-CUSTOMER,LOP140101000215,2014-01-01T05:18:34,"{'human_address': '{""address"":""BANCROFT PL"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
96,OP,2014-01-01T02:06:31,2.0,26Y,1,245,ASSAULT W/DEADLY WEA,LOP140101000214,2014-01-01T02:49:57,"{'human_address': '{""address"":""65TH AV"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
97,OP,2014-01-01T02:08:46,1.0,22X,2,415GS,415 GUNSHOTS,LOP140101000216,2014-01-01T03:44:34,"{'human_address': '{""address"":""BOSTON AV"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
98,OP,2014-01-01T02:14:30,2.0,35Y,1,242,BATTERY,LOP140101000221,2014-01-01T03:44:54,"{'human_address': '{""address"":""AV&amp;SNOWDOWN AV"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
99,OP,2014-01-01T02:17:14,1.0,10X,1,245,ASSAULT W/DEADLY WEA,LOP140101000222,2014-01-01T03:09:39,"{'human_address': '{""address"":""53RD ST"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
100,OP,2014-01-01T02:20:16,1.0,12X,2,415FC,415 FIRE CRACKERS,LOP140101000223,2014-01-01T02:20:59,"{'human_address': '{""address"":""ST&amp;WEBSTER ST"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
101,OP,2014-01-01T02:21:23,2.0,34X,2,912,SUSPICIOUS PERSON,LOP140101000225,2014-01-01T03:38:49,"{'human_address': '{""address"":""AV&amp;BIRCH ST"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
102,OP,2014-01-01T02:22:07,1.0,14Y,2,912,SUSPICIOUS PERSON,LOP140101000229,2014-01-01T03:55:01,"{'human_address': '{""address"":""VISTA AV&amp;VERNON ST"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
103,OP,2014-01-01T02:23:35,2.0,30X,2,5150,MENTALLY ILL,LOP140101000226,2014-01-01T02:25:11,"{'human_address': '{""address"":""81ST AV"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
104,OP,2014-01-01T02:24:07,1.0,03X,1,242,BATTERY,LOP140101000230,2014-01-01T02:44:47,"{'human_address': '{""address"":""ST&amp;WEBSTER ST"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
105,OP,2014-01-01T02:24:21,2.0,30X,1,OD,OVERDOSE,LOP140101000227,2014-01-01T03:07:49,"{'human_address': '{""address"":""81ST AV"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
106,OP,2014-01-01T02:26:29,2.0,33X,1,415,415 FAMILY,LOP140101000233,2014-01-01T04:02:21,"{'human_address': '{""address"":""82ND AV"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
107,OP,2014-01-01T02:28:13,2.0,29X,2,SECCK,SECURITY CHECK,LOP140101000232,2014-01-01T08:24:23,"{'human_address': '{""address"":""PL&amp;SUNNYMERE AV"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
108,OP,2014-01-01T02:28:26,1.0,08X,1,MPRISK,MISSING PERSON AT RI,LOP140101000234,2014-01-01T05:15:08,"{'human_address': '{""address"":""FAIRMOUNT AV"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
109,OP,2014-01-01T02:29:17,1.0,08X,2,415FC,415 FIRE CRACKERS,LOP140101000235,2014-01-01T02:37:22,"{'human_address': '{""address"":""AV&amp;PIEDMONT AV"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
